ENSMBLEID	GENEID	Regulator.Type
ENSG00000097007	ABL1	TF
ENSG00000146109	ABT1	TF
ENSG00000114626	ABTB1	TF
ENSG00000101126	ADNP	TF
ENSG00000106624	AEBP1	TF
ENSG00000139154	AEBP2	TF
ENSG00000104964	AES	TF
ENSG00000172493	AFF1	TF
ENSG00000144218	AFF3	TF
ENSG00000072364	AFF4	TF
ENSG00000153207	AHCTF1	TF
ENSG00000106546	AHR	TF
ENSG00000110711	AIP	TF
ENSG00000160224	AIRE	TF
ENSG00000242441	GTF2A1L	TF
ENSG00000138380	CARF	TF
ENSG00000156150	ALX3	TF
ENSG00000052850	ALX4	TF
ENSG00000164331	ANKRA2	TF
ENSG00000148677	ANKRD1	TF
ENSG00000088448	ANKRD10	TF
ENSG00000165887	ANKRD2	TF
ENSG00000152766	ANKRD22	TF
ENSG00000197256	KANK2	TF
ENSG00000148513	ANKRD30A	TF
ENSG00000167612	ANKRD33	TF
ENSG00000137494	ANKRD42	TF
ENSG00000183831	ANKRD45	TF
ENSG00000168876	ANKRD49	TF
ENSG00000132623	ANKEF1	TF
ENSG00000144031	ANKRD53	TF
ENSG00000135299	ANKRD6	TF
ENSG00000106013	ANKRD7	TF
ENSG00000064999	ANKS1A	TF
ENSG00000168096	ANKS3	TF
ENSG00000163516	ANKZF1	TF
ENSG00000166313	APBB1	TF
ENSG00000163697	APBB2	TF
ENSG00000134982	APC	TF
ENSG00000100823	APEX1	TF
ENSG00000169083	AR	TF
ENSG00000117713	ARID1A	TF
ENSG00000049618	ARID1B	TF
ENSG00000116017	ARID3A	TF
ENSG00000179361	ARID3B	TF
ENSG00000032219	ARID4A	TF
ENSG00000054267	ARID4B	TF
ENSG00000150347	ARID5B	TF
ENSG00000143437	ARNT	TF
ENSG00000172379	ARNT2	TF
ENSG00000133794	ARNTL	TF
ENSG00000029153	ARNTL2	TF
ENSG00000004848	ARX	TF
ENSG00000065802	ASB1	TF
ENSG00000146926	ASB10	TF
ENSG00000165192	ASB11	TF
ENSG00000198881	ASB12	TF
ENSG00000146809	ASB15	TF
ENSG00000115239	ASB3	TF
ENSG00000005981	ASB4	TF
ENSG00000148331	ASB6	TF
ENSG00000177981	ASB8	TF
ENSG00000102048	ASB9	TF
ENSG00000138303	ASCC1	TF
ENSG00000100325	ASCC2	TF
ENSG00000112249	ASCC3	TF
ENSG00000139352	ASCL1	TF
ENSG00000183734	ASCL2	TF
ENSG00000176009	ASCL3	TF
ENSG00000116539	ASH1L	TF
ENSG00000129691	ASH2L	TF
ENSG00000171456	ASXL1	TF
ENSG00000140836	ZFHX3	TF
ENSG00000123268	ATF1	TF
ENSG00000115966	ATF2	TF
ENSG00000162772	ATF3	TF
ENSG00000128272	ATF4	TF
ENSG00000169136	ATF5	TF
ENSG00000118217	ATF6	TF
ENSG00000170653	ATF7	TF
ENSG00000171681	ATF7IP	TF
ENSG00000149311	ATM	TF
ENSG00000172238	ATOH1	TF
ENSG00000085224	ATRX	TF
ENSG00000156273	BACH1	TF
ENSG00000112182	BACH2	TF
ENSG00000109705	NKX3-2	TF
ENSG00000138376	BARD1	TF
ENSG00000125492	BARHL1	TF
ENSG00000143032	BARHL2	TF
ENSG00000131668	BARX1	TF
ENSG00000043039	BARX2	TF
ENSG00000156127	BATF	TF
ENSG00000198604	BAZ1A	TF
ENSG00000009954	BAZ1B	TF
ENSG00000123636	BAZ2B	TF
ENSG00000114439	BBX	TF
ENSG00000119866	BCL11A	TF
ENSG00000127152	BCL11B	TF
ENSG00000069399	BCL3	TF
ENSG00000113916	BCL6	TF
ENSG00000161940	BCL6B	TF
ENSG00000029363	BCLAF1	TF
ENSG00000183337	BCOR	TF
ENSG00000145734	BDP1	TF
ENSG00000134107	BHLHE40	TF
ENSG00000123095	BHLHE41	TF
ENSG00000180535	BHLHA15	TF
ENSG00000136717	BIN1	TF
ENSG00000117475	BLZF1	TF
ENSG00000169594	BNC1	TF
ENSG00000178096	BOLA1	TF
ENSG00000183336	BOLA2	TF
ENSG00000012048	BRCA1	TF
ENSG00000139618	BRCA2	TF
ENSG00000100425	BRD1	TF
ENSG00000166164	BRD7	TF
ENSG00000112983	BRD8	TF
ENSG00000137948	BRDT	TF
ENSG00000185024	BRF1	TF
ENSG00000136492	BRIP1	TF
ENSG00000156983	BRPF1	TF
ENSG00000096070	BRPF3	TF
ENSG00000185658	BRWD1	TF
ENSG00000095564	BTAF1	TF
ENSG00000151136	BTBD11	TF
ENSG00000130584	ZBTB46	TF
ENSG00000145741	BTF3	TF
ENSG00000133639	BTG1	TF
