RFs	Gene.ID	Regulatory.Type	RIF1_Pearson	RIF1_Spearman	RIF1_Sobolev	RIF1_Fisher	RIF2_Pearson	RIF2_Spearman	RIF2_Sobolev	RIF2_Fisher
ENSG00000004848	ARX	TF	0.68	0.71	0.43	0.3	0.76	0.61	-0.13	0.19
ENSG00000006047	YBX2	TF	0.51	0.68	0.07	0.12	0.5	0.18	0.26	-0.02
ENSG00000008196	TFAP2B	TF	0.77	-0.65	0.65	0.32	0.76	-0.29	0.8	1.03
ENSG00000009709	PAX7	TF	-4.6	-0.98	0.68	0.03	-1.35	0.37	0.57	0.18
ENSG00000009950	MLXIPL	TF	0.71	0.65	0.33	0.21	0.8	0.73	0.04	0.05
ENSG00000012504	NR1H4	TF	-0.28	-0.64	0.72	0.15	0.75	0.84	0.72	0.95
ENSG00000016082	ISL1	TF	0.68	0.73	-1.78	0.17	-0.79	-0.76	-0.46	-1.2
ENSG00000019549	SNAI2	TF	0.07	0.48	-0.31	-0.23	0.79	0.57	0.28	0.19
ENSG00000039600	SOX30	TF	0.62	0.23	0.73	0.4	0.39	0.54	-0.27	-0.53
ENSG00000043039	BARX2	TF	-1.09	-0.46	-2.23	-1.08	0.44	0.44	0.66	0.73
ENSG00000043355	ZIC2	TF	0.67	0.72	-1.25	-0.46	0.57	0.36	1	1.29
ENSG00000048540	LMO3	TF	0.52	0.47	-0.08	0.37	-0.93	-1.66	0.02	-0.74
ENSG00000061455	PRDM6	TF	0.55	0.53	-1.02	0.33	-2.01	-1.33	-0.98	-1.75
ENSG00000064393	HIPK2	TF	0.14	0	0.49	0.28	0.36	0.44	0.03	0.05
ENSG00000068781	STON1-GTF2A1L	TF	0.15	0.18	0.56	0.25	-0.37	0.44	-0.42	-0.65
ENSG00000069011	PITX1	TF	-0.17	-0.32	0.08	-0.26	0.82	0.7	0.06	0.19
ENSG00000073282	TP63	TF	-1.6	-1.43	0.19	-0.01	0.59	0.59	0.02	0.17
ENSG00000074047	GLI2	TF	0.13	0.46	0.44	0.18	-2.15	-1.54	-1.2	-2.1
ENSG00000075891	PAX2	TF	-0.35	0.52	-1	-1.27	0.83	0.66	0.91	1.24
ENSG00000078900	TP73	TF	-0.68	0.32	-0.16	-0.2	0.74	0.64	0.15	0.18
ENSG00000079102	RUNX1T1	TF	0.6	0.67	-1.32	0.27	-1.3	-1.61	-0.88	-1.51
ENSG00000081189	MEF2C	TF	-1.03	0.08	0.05	-0.18	-2.18	-0.77	-1.88	-2.06
ENSG00000082014	SMARCD3	TF	0.72	0.63	-0.3	0.26	-0.1	-0.84	-0.44	-0.95
ENSG00000082175	PGR	TF	0.64	0.61	0.15	0.29	-1.42	-1.63	-1.02	-1.4
ENSG00000085276	MECOM	TF	-1.16	-0.43	-2.07	-0.87	0.61	0.71	0.72	0.65
ENSG00000087077	TRIP6	TF	0.68	0.62	-1.02	0.02	-0.1	-0.22	-0.46	-0.84
ENSG00000089225	TBX5	TF	0.2	0.72	-0.59	-0.08	-1.74	-0.72	-1.92	-1.49
ENSG00000092607	TBX15	TF	-2.19	0.32	-0.1	0.4	-1.31	0.81	0.71	0.34
ENSG00000100142	POLR2F	TF	0.09	0.53	-0.59	0.12	0.83	0.71	0.11	-0.18
ENSG00000100307	CBX7	TF	0.52	0.58	-0.29	0.34	-1.43	-1.18	-1.02	-1.39
ENSG00000100968	NFATC4	TF	0.55	0.49	-1.67	0.29	-2.26	-2.82	-1.42	-2.09
ENSG00000100987	VSX1	TF	0.55	0.68	0.71	0.37	0.56	-0.15	0.25	-0.07
ENSG00000101057	MYBL2	TF	0.78	0.75	0.79	0.43	0.5	0.32	0.71	1.04
ENSG00000101115	SALL4	TF	0.64	0.74	-0.01	0.19	0.74	0.82	0.72	0.69
ENSG00000102034	ELF4	TF	-1.14	-1.17	-1.62	-0.7	0.67	0.54	0.45	0.39
ENSG00000102243	VGLL1	TF	-3.37	-5.88	0.5	-0.43	-0.07	-0.5	0.25	0.62
ENSG00000102349	KLF8	TF	-0.14	-0.44	-0.5	-0.34	0.81	0.75	0.03	0
ENSG00000102554	KLF5	TF	-2.3	-2.52	-2.01	-1.3	0.29	-0.27	0.73	0.83
ENSG00000102935	ZNF423	TF	0.55	0.05	-3.26	0.09	-1.39	-3.07	-0.25	-1.51
ENSG00000103241	FOXF1	TF	0.6	0.63	-0.69	0.23	-1.87	-0.88	-1.82	-1.83
ENSG00000105996	HOXA2	TF	0.29	0.18	-0.7	-0.51	0.74	0.77	0.79	0.75
ENSG00000106013	ANKRD7	TF	-0.02	-0.7	0.68	0.35	0.78	0.81	-0.06	-0.06
ENSG00000106038	EVX1	TF	0.62	-1.09	0.38	0.36	0.69	0.37	-0.15	-0.01
ENSG00000106536	POU6F2	TF	0.51	0.68	0.72	0.4	0.75	0.75	0.31	0.37
ENSG00000106546	AHR	TF	-0.86	-0.24	-3.74	-1.45	0.75	0.78	0.81	0.62
ENSG00000106571	GLI3	TF	0.52	0.67	-0.34	0.31	-1.41	-0.72	-1.1	-1.57
ENSG00000107249	GLIS3	TF	0.43	0.71	-0.81	-0.37	0.67	-0.15	0.79	0.47
ENSG00000107438	PDLIM1	TF	-0.3	0.18	0.15	-0.18	0.67	0.79	0.18	0.14
ENSG00000107485	GATA3	TF	-2.42	-1.27	0.09	-0.53	0.54	0.78	0.27	0.47
ENSG00000107859	PITX3	TF	-5.64	-4.54	0.64	-0.36	-1.82	-0.87	0.51	-0.25
ENSG00000108511	HOXB6	TF	0.51	-0.88	-0.19	-0.25	0.8	0.09	0.9	1.22
ENSG00000108924	HLF	TF	0.62	0.71	0.2	0.36	-2.42	-2.19	-3.37	-2.49
ENSG00000109705	NKX3-2	TF	0.4	0.41	0.46	0.1	0.81	0.81	0.2	0.27
ENSG00000109819	PPARGC1A	TF	0.52	0.58	0.43	0.33	-1.1	-0.13	-0.88	-1.44
ENSG00000110777	POU2AF1	TF	-1.06	-0.57	-0.49	-0.41	0.71	0.77	0.5	0.5
ENSG00000111046	MYF6	TF	-2.79	-0.66	0.67	-0.12	-1.35	-0.12	0.49	0.15
ENSG00000111049	MYF5	TF	0.74	0.73	0.77	-14.89	0.8	0.82	1.01	-0.13
ENSG00000111206	FOXM1	TF	0.79	0.58	0.66	0.31	0.48	0.41	0.7	0.91
ENSG00000111783	RFX4	TF	0.35	0.75	0.74	0.4	0.6	0.6	0.31	0.4
ENSG00000112232	KHDRBS2	TF	-0.54	-0.47	0.68	0.08	-0.49	0.3	-0.13	-0.6
ENSG00000112246	SIM1	TF	0.27	0.21	0.65	0.27	0.81	0.71	0.8	1.13
ENSG00000112319	EYA4	TF	0.81	0.82	-3.04	-0.05	-1.63	-2.65	-1.06	-1.64
ENSG00000112333	NR2E1	TF	0.69	0.01	0.56	0.41	0.61	0.7	0.29	0.63
ENSG00000112837	TBX18	TF	-0.95	-0.22	-0.07	-0.15	-1.15	-0.43	-1.06	-0.81
ENSG00000115041	KCNIP3	TF	0.6	0.64	-1.17	0.29	-2.01	-2.28	-1.24	-1.91
ENSG00000115112	TFCP2L1	TF	-0.23	0.38	0.62	0.11	0.45	0.66	0.21	0.5
ENSG00000115239	ASB3	TF	0.56	-0.41	-0.23	-0.44	0.01	-0.18	-0.17	-0.15
ENSG00000115507	OTX1	TF	0.47	0.16	0.77	0.39	0.78	0.87	0.1	0.28
ENSG00000115593	SMYD1	TF	-2.14	-0.5	0.73	0.05	-1.35	0.16	0.51	0.19
ENSG00000115641	FHL2	TF	0.22	0.37	0.74	0.32	0.82	0.67	-0.29	-0.4
ENSG00000116132	PRRX1	TF	0.61	0.59	0.37	0.37	-0.64	-0.62	-1	-1.16
ENSG00000116254	CHD5	TF	-0.7	-1.75	-1.58	-0.58	-1.92	-1.87	-2.61	-2.07
ENSG00000117318	ID3	TF	0.6	0.46	0.3	0.34	0.83	0.84	-0.13	-0.25
ENSG00000118503	TNFAIP3	TF	0.69	0.33	0.28	0.21	0.75	0.59	0.34	0.3
ENSG00000118513	MYB	TF	-0.59	-4.43	0.75	0.25	-0.15	-1.21	0.23	0.49
ENSG00000118526	TCF21	TF	0.54	-0.03	-0.62	0.38	-0.92	-1.6	-0.13	-1.11
ENSG00000119508	NR4A3	TF	0.59	0.7	0.77	0.3	0.67	0.59	0.18	0.11
ENSG00000119547	ONECUT2	TF	0.7	0.79	0.84	0.41	0.5	-0.27	0.74	1.04
ENSG00000119866	BCL11A	TF	-2.62	-2.93	-0.6	-0.47	0.51	0.55	0.06	0.2
ENSG00000119919	NKX2-3	TF	0.76	0.71	0.07	-0.03	0.54	0.08	0.63	1.11
ENSG00000120068	HOXB8	TF	0.42	-0.16	0.09	-0.38	0.81	0.62	0.86	1.24
ENSG00000120075	HOXB5	TF	0.41	0.29	0.32	-0.11	0.8	0.69	0.86	1.18
ENSG00000120093	HOXB3	TF	0.48	0.2	0.26	0.12	0.65	0.53	0.59	0.64
ENSG00000120149	MSX2	TF	0.67	0.38	0.04	0.3	0.79	0.79	0.48	0.27
ENSG00000121068	TBX2	TF	0.17	-0.95	-0.03	0.23	0.1	-2.99	0.61	-0.04
ENSG00000121075	TBX4	TF	-0.13	0.56	0.35	-0.22	-1.91	-0.51	-0.96	-1.32
ENSG00000121297	TSHZ3	TF	0.65	0.56	-0.12	0.3	-1.53	-1.32	-1.4	-1.64
ENSG00000122145	TBX22	TF	0.73	0.63	0.78	0.41	-0.22	-0.08	-0.72	-0.56
ENSG00000122180	MYOG	TF	-2.75	-3.85	0.58	-0.33	-1.47	-0.33	0.46	0.04
ENSG00000122592	HOXA7	TF	0.58	0.51	0.34	0.31	-0.47	-1.02	-0.63	-1.09
ENSG00000122691	TWIST1	TF	0.74	0.45	0.64	0.43	0.64	0.73	0.4	0.34
ENSG00000123364	HOXC13	TF	0.7	0.72	0.6	0.4	0.81	0.8	0.54	0.68
ENSG00000123405	NFE2	TF	0.81	0.31	0.7	0.4	0.18	0.71	-0.69	-0.51
ENSG00000123407	HOXC12	TF	-0.22	0.25	0.76	0.2	0.64	0.62	0.63	0.51
ENSG00000124232	RBPJL	TF	0.43	0.43	0.76	0.38	0.79	0.89	0.74	0.94
ENSG00000124440	HIF3A	TF	0.55	0.69	0.38	0.12	-2.88	-3.01	-5.31	-3.25
ENSG00000124496	TRERF1	TF	0.78	0.7	0.62	0.39	0.1	0.65	-0.57	-0.83
ENSG00000125618	PAX8	TF	0.59	0.59	-1.05	-0.26	0.81	0.85	0.97	1.13
ENSG00000125798	FOXA2	TF	-0.86	-3.91	0.74	0.11	0.3	-0.62	0.31	0.53
ENSG00000125968	ID1	TF	-0.13	0.27	-0.04	-0.03	0.54	0.77	0.46	0.58
ENSG00000126603	GLIS2	TF	0.21	-0.19	0.21	0.29	-1.51	-1.28	-1.05	-1.61
ENSG00000126752	SSX1	TF	0.43	-0.01	0.76	0.4	0.79	0.69	0.72	1.06
ENSG00000128573	FOXP2	TF	0.02	0.36	0.23	0.21	-1.84	-0.95	-0.24	-1.47
